"SECURITIES","ERROR CODE","NUM FLDS","OPT_EXPIRE_DT","OPT_STRIKE_PX","PX_BID","PX_MID","PX_ASK","OPT_PUT_CALL","DAYS_TO_MTY","TODAY_DT","OPT_DAYS_EXPIRE"
"SPX US 07/15/16 C1380 Index",0,9,"07/15/2016",1380.000000  ,715.200000  ,716.300000  ,717.400000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1385 Index",0,9,"07/15/2016",1385.000000  ,710.200000  ,711.300000  ,712.400000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1390 Index",0,9,"07/15/2016",1390.000000  ,705.200000  ,706.300000  ,707.400000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1395 Index",0,9,"07/15/2016",1395.000000  ,700.200000  ,701.300000  ,702.400000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1400 Index",0,9,"07/15/2016",1400.000000  ,695.200000  ,696.300000  ,697.400000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1405 Index",0,9,"07/15/2016",1405.000000  ,690.200000  ,691.300000  ,692.400000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1410 Index",0,9,"07/15/2016",1410.000000  ,685.200000  ,686.300000  ,687.400000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1415 Index",0,9,"07/15/2016",1415.000000  ,680.200000  ,681.300000  ,682.400000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1420 Index",0,9,"07/15/2016",1420.000000  ,675.200000  ,676.300000  ,677.400000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1425 Index",0,9,"07/15/2016",1425.000000  ,670.200000  ,671.300000  ,672.400000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1430 Index",0,9,"07/15/2016",1430.000000  ,665.200000  ,666.300000  ,667.400000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1435 Index",0,9,"07/15/2016",1435.000000  ,660.200000  ,661.300000  ,662.400000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1440 Index",0,9,"07/15/2016",1440.000000  ,655.200000  ,656.300000  ,657.400000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1445 Index",0,9,"07/15/2016",1445.000000  ,650.200000  ,651.300000  ,652.400000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1450 Index",0,9,"07/15/2016",1450.000000  ,645.200000  ,646.300000  ,647.400000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1455 Index",0,9,"07/15/2016",1455.000000  ,640.200000  ,641.300000  ,642.400000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1460 Index",0,9,"07/15/2016",1460.000000  ,635.200000  ,636.300000  ,637.400000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1465 Index",0,9,"07/15/2016",1465.000000  ,630.200000  ,631.300000  ,632.400000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1470 Index",0,9,"07/15/2016",1470.000000  ,625.200000  ,626.300000  ,627.400000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1475 Index",0,9,"07/15/2016",1475.000000  ,620.200000  ,621.300000  ,622.400000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1480 Index",0,9,"07/15/2016",1480.000000  ,615.200000  ,616.300000  ,617.400000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1485 Index",0,9,"07/15/2016",1485.000000  ,610.200000  ,611.300000  ,612.400000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1490 Index",0,9,"07/15/2016",1490.000000  ,605.200000  ,606.300000  ,607.400000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1495 Index",0,9,"07/15/2016",1495.000000  ,600.200000  ,601.300000  ,602.400000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1500 Index",0,9,"07/15/2016",1500.000000  ,595.200000  ,596.300000  ,597.400000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1505 Index",0,9,"07/15/2016",1505.000000  ,590.200000  ,591.300000  ,592.400000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1510 Index",0,9,"07/15/2016",1510.000000  ,585.200000  ,586.300000  ,587.400000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1515 Index",0,9,"07/15/2016",1515.000000  ,580.200000  ,581.300000  ,582.400000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1520 Index",0,9,"07/15/2016",1520.000000  ,575.200000  ,576.350000  ,577.500000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1525 Index",0,9,"07/15/2016",1525.000000  ,570.200000  ,571.350000  ,572.500000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1530 Index",0,9,"07/15/2016",1530.000000  ,565.200000  ,566.350000  ,567.500000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1535 Index",0,9,"07/15/2016",1535.000000  ,560.200000  ,561.350000  ,562.500000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1540 Index",0,9,"07/15/2016",1540.000000  ,555.200000  ,556.350000  ,557.500000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1545 Index",0,9,"07/15/2016",1545.000000  ,550.200000  ,551.350000  ,552.500000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1550 Index",0,9,"07/15/2016",1550.000000  ,545.200000  ,546.350000  ,547.500000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1555 Index",0,9,"07/15/2016",1555.000000  ,540.300000  ,541.400000  ,542.500000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1560 Index",0,9,"07/15/2016",1560.000000  ,535.200000  ,536.350000  ,537.500000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1565 Index",0,9,"07/15/2016",1565.000000  ,530.300000  ,531.400000  ,532.500000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1570 Index",0,9,"07/15/2016",1570.000000  ,525.300000  ,526.400000  ,527.500000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1575 Index",0,9,"07/15/2016",1575.000000  ,520.300000  ,521.400000  ,522.500000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1580 Index",0,9,"07/15/2016",1580.000000  ,515.300000  ,516.400000  ,517.500000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1585 Index",0,9,"07/15/2016",1585.000000  ,510.300000  ,511.400000  ,512.500000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1590 Index",0,9,"07/15/2016",1590.000000  ,505.300000  ,506.400000  ,507.500000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1595 Index",0,9,"07/15/2016",1595.000000  ,500.300000  ,501.400000  ,502.500000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1600 Index",0,9,"07/15/2016",1600.000000  ,495.300000  ,496.400000  ,497.500000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1605 Index",0,9,"07/15/2016",1605.000000  ,490.300000  ,491.400000  ,492.500000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1610 Index",0,9,"07/15/2016",1610.000000  ,485.300000  ,486.400000  ,487.500000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1615 Index",0,9,"07/15/2016",1615.000000  ,480.300000  ,481.400000  ,482.500000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1620 Index",0,9,"07/15/2016",1620.000000  ,475.300000  ,476.400000  ,477.500000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1625 Index",0,9,"07/15/2016",1625.000000  ,470.300000  ,471.400000  ,472.500000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1630 Index",0,9,"07/15/2016",1630.000000  ,465.300000  ,466.400000  ,467.500000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1635 Index",0,9,"07/15/2016",1635.000000  ,460.300000  ,461.450000  ,462.600000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1640 Index",0,9,"07/15/2016",1640.000000  ,455.300000  ,456.450000  ,457.600000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1645 Index",0,9,"07/15/2016",1645.000000  ,450.300000  ,451.450000  ,452.600000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1650 Index",0,9,"07/15/2016",1650.000000  ,445.300000  ,446.450000  ,447.600000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1655 Index",0,9,"07/15/2016",1655.000000  ,440.300000  ,441.450000  ,442.600000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1660 Index",0,9,"07/15/2016",1660.000000  ,435.300000  ,436.450000  ,437.600000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1665 Index",0,9,"07/15/2016",1665.000000  ,430.300000  ,431.450000  ,432.600000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1670 Index",0,9,"07/15/2016",1670.000000  ,425.400000  ,426.500000  ,427.600000  ,"Call",14  ,"06/30/2016",15  ,
